Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
51	Burglar	偷窃	有些人天生适合做生意，有的喜欢谈判，有的凶猛好斗，有的爱学习。我生来是做贼的料，而且精于此道。但我现在的日子也不好过。每什么值钱东西可偷的，大家越来越谨慎小心了。	下水道	大多数人以为自由天堂的下水道是盗贼的巢穴。但我不相信。谁不想住在宽敞明亮，奴仆成群的豪宅中呢？又有谁会要住在阴冷潮湿的下水道里呢？	敲诈	有个家伙在北部独霸一方，向商人敲诈所谓的“保护费”。目前他十分猖狂，但迟早会有人收拾他的。	银行	啊！是银行毁了我的生计。人人都把钱存在银行里，我又能去抢劫谁呢？	盗贼教派	盗贼教派会传授你最精湛的洞察术和撬锁技能。	拆卸陷阱	为了不让我这种人碰他们的东西，人们在自己的箱子上安装了机关陷阱。	费兹尔	费兹尔可是个聪明人。他知道在事情败露前及时脱身，抓他可不容易。
52	Peasant	劳动	感谢上帝创造了星期天，让我好好休息一下。如果每天没日没夜的干下去，我准会造反的。但换种社会制度并没什么大的区别，我还是干得多拿得少。	羊鸣教	你听说过羊鸣教吗？他们可是天底下最好的好人。在我家饥寒交迫，无人问津之际，是他们挽救了我们全家。我们为了感激他们的大恩，答应重返这里。	天堂之令	人们都在传说艾恩法斯特家族丢失了天堂之令，别告诉别人是我说的。近来洪水爆发，暴雨倾盆，这是天神震怒的征兆。	罗兰德国王	罗兰德在这个时候意外失踪真是太糟糕了。他一定是触犯了众神，得到如此下场是罪有应得。	尼古拉·艾恩法斯特	尽管罗兰德因其所作所为遭到了天堂的唾弃，但他的儿子尼古拉是无辜的。他毕竟只有十岁，也许众神将宠爱他并赐予他天堂之令，要是这样那就太好了。	天气	近来天气可真怪。六月份竟然还在下雪，真是太反常了。六月雪可不是什么好兆头。	流星雨之夜	自从流星雨之夜的两年后灾难就频频发生。一切都显得那么反常。只有羊鸣教才真心救助百姓。他们说罗兰德国王犯了触犯天庭的罪孽，流星雨就是来自天堂惩治邪恶的复仇天使。
53	Serf	总督	我不知道在寂静时代以前是否也像现在一样由一个统治者掌管一切。这样容易造成个人的独断专行，使人民怨声载道，引起百姓造反。	尼古拉	我们可不想让一个孩子来统治恩洛斯。尼古拉年纪这么小，怎么可能当一个好国王呢？	保护	尽管近来麻烦不断，我的君主仍对我关爱有加。其它人会为各自的前途考虑，我则专注于自己的工作。	探险者	我真希望自己是个英雄，仗剑闯天涯，笑傲江湖。而不是现在一样做一个普普通通的农民。	歹徒	我不能离开城镇和城堡，不然路上会有歹徒把我身上仅有的一点钱抢走的。为什么卫兵不惩治这些坏家伙呢？	羊鸣教	尽管我有错，但只有羊鸣教真心帮助我，使我摆脱困境。而政府总是对我们的苦难置若罔闻。	税收	我恨收税。我们凭什么交税，我一辈子辛苦劳动就是为了养活别人吗？我竟然要为“荣誉”而给他们钱。
54	Tailor	帽子	时下流行三种帽子。从一般布帽到由手艺精湛的裁缝精心制作的高贵帽子。巫师喜欢点化质量好的帽子，因为它们比头盔轻，又不会遮挡视线。其中最容易被点化的是锥形帽。	披风	除了颜色和质地外，披风没有什么大的区别。但有一种却与众不同。它名叫末日披风。由八十年前的月亮神庙编织而成。它里面绣有银线，内里是黑色的，很容易辨认。它们总是附有很大的魔力。	铁手套	铁手套是在铠甲铺里打造而成，并不是普通裁缝可以制作。最好的铁手套在远处北方的铠甲铺里。它们不仅像普通手套一样穿着轻便，而且防御力如同最坚硬的钢甲手套。	皮带	埃里克·阿皮盖特是远近闻名的裁缝，专为炼金士点化皮带。他干这个活已经几十年了。经点化的皮带有出人意料的魔法。	靛青	自从十年前李格纳国王取缔了这个海盗王国的商业以来就不出产靛青了。我知道他为什么要这么干，对靛青的短缺也习以为常了。没有这东西我无法把任何物件染蓝或染紫。	皮靴	只有补鞋匠才对皮靴有足够的发言权，我对它所知不多。但我要提醒你不要小看皮靴的作用。它们经久耐穿，提高你在战斗中的防御能力。人人都必须穿着皮靴。	棉花	在太阳教派和月亮教派曾经驻扎的岛屿——卡力格岛上长着棉花。它的采摘和种植都非常困难，只有在这个岛上才长势旺盛。如果你能得到它，就能够织成极软的布匹。
55	Laborer	奇迹时代	寂静时代以前是奇迹时代。任何繁重劳动均由魔法来完成，真希望有一项帮我干活的魔法。	工作	有人得在这里干艰苦繁重的工作。而这个人就是我。	艾恩法斯特家族	尽管我并不甘心像现在这样庸庸碌禄，无名一生，但总比艾恩法斯特家族好多了。灾难始终笼罩在他们头上，如影随形。我情愿享受如今的平凡但快乐的生活，也不愿做个贵族苦恼一辈子。	草莓浆果	我曾吃过草莓浆果，这东西使我恶心了一天，什么事也没干。	娱乐	你要我干什么？我是个工人，可不会逗你玩。	坟墓	我想将来一段时期我的工作就是埋藏被恶魔杀害的人们。	土匪	如果我能使用这件兵器，我想还是加入土匪的队伍为好，他们的生活肯定非常逍遥自在。
56	Farmer	法律的尊严	法律面前人人平等。无论富人还是穷人，都禁止在桥下睡觉，不准偷窃面包，不得乞讨。——福泰尔。	寒冷天气	如此寒冷的天气使我忧心忡忡。这种天气真是反常，我的庄稼大概熬不过去了。	军队	这些天部队调动颇为频繁。我的农田每天都有军队路过。你想想千军万马践踏过我的庄稼后我会怎么样？毫无疑问，我只有破产一条路。	枯萎病	我听说西方有一种可怕的枯萎病把粮食和植物都毁了。如果这种病蔓延到这里，我准得破产。	河流	这几天老是大雨倾盆。这样下去河水都因变成雨水而枯竭，如果河床干枯了，我的产业就毁了。	商品价格	面对市场上商品价格一泻千里，狂跌不止，我已经无话可说了。肯定有人暗中捣鬼，人为压低价格，如果这种情况再持续下去，我就会完蛋的。	农场帮助	近来要找个帮工可太困难了。但如果在收获季节却找不到强壮的帮工帮忙的话，那么农场主只有等着破产，坐以待毙。
57	Cooper	忠告	让木桶滚下山自然比推它上山容易，所以对有些事还是任其自然发展为妙。	天赐锻造	如果我有天赐炼铁厂，我每天不费吹灰之力就可以造成百个酒桶，我猜那些炼铁厂是奇迹时代里的好东西。	旅店	王国四处是旅店和酒馆。我总忍不住去那里喝一杯。	木材	随着黑森林的被毁和旷日持久的木材大战，我还能上哪儿去找木材做酒桶呢？	木桶	除了箱子和盒子，木桶也能藏财宝，所以不要忘了在里面好好找一找。	液体	木桶里残留的液体可不能乱喝。你不知道它已经放了多少时间了，喝了可能会得病。	神使	我很想听听神使关于恶魔、羊鸣教和尼古拉王子的看法。议会为什么不去祈求她显灵呢？
58	Potter	粘土	天下泥土的质量并非一般无二。最上乘的粘土在流经自由天堂的河流的河床底下。	热火	要制出上好的陶器，火的温度必须高。那没有什么危险。我曾去过克里格斯城堡采集藏在它地下的火种。	市场	这些天当个陶器匠真不容易，你不必过于勉强自己。关键是不断到市场上了解信息，提出合理的价位。没有经商术的帮助，讨价还价可占不到丝毫便宜。	化石	你在河岸或海岸边找优质粘土的时候能够发现很多贝壳。它们年代古老，在自由天堂湾里有许多牡蛎的贝壳，它们把粘土分得散乱不堪。	油漆	如今从埃拉西亚来的货船来的特别慢，那里出产我工作需要的油漆，而且还是皇后的家乡。我想那里肯定出了什么问题。	纺织模型	纺车有令人难以置信的魔力。如果人人观察一下纺车，心情立刻会平静下来，不再与他人兵戈相见。但因为我身份低微，没人肯相信我。	改变	空气和大风会不断地变化，你可以闻到并感觉到。我觉得不久将有更大的变化。
59	Weaver	魔法布匹	有些布匹经过了魔法的点化。如果你穿上将受益匪浅。	天气	当六月暴风雪肆虐的时候，我根本措手不及，没有准备冬装。现在我要作过冬的准备，这天气真是反常，一定是我出了什么差错触犯了天神。	冰冻高地	如果你要在北方呆较长的一段时间，得多准备些过冬的衣物。那里长年累月都在下雪。	布匹	戴上引人注目的帽子，穿上漂亮裙子固然很好看，但为了在战斗中保住性命，最好穿好盔甲，戴上头盔。	羊鸣教披风	我不知道这披风是谁做的，但每个羊鸣教神父都有一件，上面绣有羊鸣教的标志。如果我能把这桩裁缝生意接下来，那就要发财了。	染色	制布就要染色。用一些好看的颜色可以使布匹看起来更美丽。	黑摩尔	即使暖和的布匹也不能挡住黑摩尔的寒冷。不死幽灵一触你的身体，你身体中的热气就随之流失了。
60	Cobbler	鞋子	每个人都要穿鞋，并非贵族和富人独享这份权利。如果你走路伤了脚，怎么能继续工作呢？	魔法皮靴	炼金师制造了各类不同的皮靴。大多数具有被点化的魔法。	龙皮	龙皮是制作皮靴、皮带或鞋子的最好材料。它质地柔软坚韧，又可以防御元素魔法。	赫尔墨斯	你是否听说过带有传奇色彩的皮靴赫尔墨斯。据说它能使穿着者的速度提高到匪夷所思的地步。我真想亲眼见识一下。	大头靴	历史就由软底拖鞋下楼和大头靴上楼的声音交织而成的。	众神的愿望	我们国王的不幸失踪真是个悲剧。但这肯定是众神的旨意，没有众神的旨意，这种事不可能发生。	枯萎病	在西方危害植物和动物的枯萎病开始向东蔓延。奶牛首当其冲染上此病。由此引起了皮革的短缺。你可以想到，不久皮靴、皮带和其它皮制品都会涨价的。
61	Ditch Digger	智力	如果我天资聪颖的话，又怎么能整天挖沟了此残生呢？请正经点儿！	高级议会	为什么会听任坏人为非作歹，议会是派什么用处的？	海盗的宝藏	凭我多年的寻宝经验，我要到海湾的岛上挖掘海盗的宝藏。	技术	我的技术和附近一些人根本不能比。如果我能施展魔法，救死扶伤，修补物品，一定会有很多人雇我为他们服务。可又有谁会要一个只会挖沟的人呢？	提升	除了挖沟，我真希望学些其它的本事，可是我这人太苯了。	奥斯里克·坦普	奥斯里克·坦普连剑客的队伍也不让我加入。他说我太笨了，不会执行命令。	劳动	这不是世界上最好的工作，但很稳定。
62	Miller	磨刀石	磨刀石坚硬如铁，要做磨石匠可得下很大的决心。我听说卡力格有大片质量上乘的岩石，可以制成磨刀石。	谷物价格	今年的粮食买卖可出了大麻烦。卖主日渐稀少，真不知道这么多粮食卖给谁去。看来我支持不了多少时候了，迟早得破产。	风	尽管恶劣的天气仍在持续，这寒风可对我有好处。我有两架风车，这大风可帮我省去了不少劳动力。	水车	尽管暴风雪风力强劲，对风车很有利，但对水车极为不利。但天气太冷了，一旦河流结了冰，水车只能停工。	面粉	面粉质量在今年早些时候就下降了。尽管它被放在密封的容器里，但还是可能变质。天知道发生了什么事？	老鼠	"老鼠在人类之间传播瘟疫。我听说在新索匹格附近有个堡垒，里面有世界上最大的老鼠。<发抖>但愿在我有生之日不要见到这种怪物。"	税收	税收本来在这个国王的管理下比较合理。但阿基巴德是个吸血鬼，他多如牛毛的税收快使我破产了。像他这种人永远也不要获得王位。
63	Carpenter	木材战争	你能想象精灵们为了阻止采伐森林而发动战争么？如果不采伐森林，我们去哪儿找木材？如果木材没有了，我又靠什么谋生呢？	点化术	不光金属的兵器可以被点化。一些木制兵器，比如弓箭，同样也可以有威力强大的魔法。	李格纳	也许我该投靠李格纳，他们有天下最大规模的海军，我可以帮他们建造舰船。	天赐的炼铁厂	天赐的炼铁厂在寂静时代的130年后就停产了。没有人能重新修复它。	小屋	除了箱子，小屋也是个保存财宝的好地方。	黑树林	黑树林早已被毁于一旦。恩洛斯的木材已经非常稀少了。很快又要爆发一场木材大战。	秘密通道	老实告诉你，有些书架和课桌内部设计有秘密的通道。每当你穿过一间房子，屋子里可能还有两三个秘密通道。
64	Stonecutter	教堂设计	教会和国王成天总是想着采石开路，如果不是为了他们，我就可以过上清闲的生活了。	大理石	大理石是可以买到的质量最好的建筑材料。它们大多产于布莱克郡附近。自从人们传说那个地方笼罩着可怕的魔法诅咒，就没人敢去那里，我们的工程也将近瘫痪。	珠宝	珠宝说不定很值钱，所以你不要轻易卖掉它。	翡翠	据说卡力格的首都卡里米尔的街道和建筑物都是用翡翠雕成的，真是太美了！	铺路石	恩洛斯的铺路石都采自克里格斯附近的小山。它们是由来到恩洛斯的第一批移民铺设的，那些路到现在还完好无损。	埃斯里克的坟墓	疯子埃斯里克的坟墓是由石头建造而成的一个奇迹。我的爷爷也参与了建造工程。他说里面有几扇设计精巧的密门。我不知道埃斯里克为什么要造这些密门。但他富有而疯狂，想干什么就干什么，无所顾忌。	星湖的石像	如果你旅行到星湖附近，会在湖中心的岛上看到一些美丽的石像。它们栩栩如生，宛若真人。
65	Jester	开玩笑的一天	为什么大耳怪的一天只有二十个小时？ 你见过有二十四个手指和脚趾的大耳怪吗？	开玩笑的一天	"你怎么能认出大耳怪海盗？
他们双眼间有一块斑点。"	开玩笑的一天	为什么骷髅不会自己过马路？因为它没有勇气。	开玩笑的一天	你听说口技家的傀儡找了一个新伙伴吗？	开玩笑的一天	"你把一个神情紧张的巫师叫做什么？
一个抽搐的人！"	开玩笑的一天	"为什么大耳怪不能养鸡？

它们把蛋埋得太深了。"	开玩笑的一天	"身躯庞大，全身红色，爱吃岩石的是个什么东西？
身体又大又红爱吃岩石的怪兽！"
66	Trapper	比赛	过去西方有很多比赛和游戏。但这些日子，可能因为天堂谷里流行的枯萎病，比赛少多了。	怪兽	近来喜欢活吃动物的怪兽越来越多，真不知是怎么一回事。	硝皮匠	硝皮可是件累人的活，所以我改行来设置陷阱。	陷阱	设置陷阱有很多方法。一旦有人打开箱子或踩到某个地方陷阱就发动。如果你要闯荡江湖，最好了解一点拆除陷阱的技能，有朝一日会救你的命的。	暗无天日	我们现在的生活真是暗无天日。到处是怪兽横行，人们失去了游戏和欢乐。	毛皮	这种寒冷的鬼天气所带来的唯一好处就是寒冬使动物换上了又厚又值钱的毛皮。但找到它们很困难，大多数都被怪兽吃光了。	鬼动物	好好想想吧！当西方的恶魔开始扩张势力后，动物们纷纷逃窜。这些可恶的东西，真是讨厌。
67	Beggar	羊鸣庙	许多人自身难保，无暇顾及我这个身无分文的穷乞丐。可羊鸣教的神父却总是施舍我食物和钱，我对他们真是感激不尽。	财富	真不敢相信竟没有人帮助像我这样一个可怜的人，难道人人都这么自私吗？	王位争夺战争	我不得已才乞讨为生。在王位争夺战争中留下的伤病使我不能从事大多数劳动。	捐献	对贫穷的人要有足够的同情心。施舍一点金币给他们，众神会赞赏你的。	银湾镇	在银湾镇乞讨简直是缘木求鱼。那里的人个个是一毛不拔的铁公鸡。	布莱克郡	千万不要告诉别人，我在布莱克郡看到过狼人，我现在相信了关于布莱克郡的咒语的传言。	倒霉蛋	我这个人真不幸，连在路上抢劫的匪徒都取笑我。
68	Rustler	缺少奶牛	令人人谈虎变色的枯萎病把这里的奶牛都杀光了，偷牛贼如果无牛可偷，又靠什么为生？	篱笆	我有个僧侣朋友治好了我们从大农场主手里借来的牛群身上的烙印，真是个奇迹。	吸血鬼	严肃点，我听说是巨型吸血蝙蝠把新索匹格附近的奶牛杀死的，上帝保佑我们吧！	偷牛	要在深夜偷牛，非常容易。它们都站着睡觉，拼命一推就会倒地。而且这时候还在呼呼大睡。	地下世界	如果你要把偷来的牛急于出手，不妨去阴影教找买主。他们胆大包天，没有不敢干的事。而且他们的收费也比正规的贼盗教派低得多。你可以去他们那里碰碰运气。	非法捕猎	现在偷牛越来越困难了。我只得上一些爵士的领地偷猎。很少有人敢去那里捕猎，所以那里的牛比较多。但现在那里的动物也变少了，说不定与枯萎病有关。	臭名昭著	如果你自己觉得名声太坏，已经让人难以忍受了。这时最好上神庙自我忏悔，慷慨的捐献。神庙会把你的慷慨大方的事迹传遍四方，人们说不定会改变对你的看法。
69	Hunter	绝迹	莫格里德怪兽在恩洛斯和卡力格都已绝迹。它们的角有极高的点化价值，所以被捕猎光了。	黑森林	天堂谷的毁灭同时也摧毁了恩洛斯最大的一片森林——黑森林。那里曾经是个祥和的地方，到处是猎物。我在那里度过了一段令人难忘的日子。可好日子一去不复返了。	神龛	神龛分布在王国的各个地方，我不知道是为敬拜哪个神而建。	伊万·塞尔文	谁是伊万·塞尔文？他是制造弓箭的大师。如果得到他做的弓箭，就可以成为无人匹敌的猎手。但自从木材战争后他的弓箭就十分难得。	赏金猎人	由于近来无物可猎，灾害不断，我只能做赏金猎人，或许抓住那帮坏蛋会发笔大财。	游戏	有些地方猎物很少。比如去沼泽或雪地的时候必须准备好充足的食物。	弓箭	要打猎的时候必须装备一把好弓。不然光用剑是赶不上一头小鹿的奔跑速度的。
70	Scribe	纸张	近来纸张短缺，我的客户们不断的抱怨。一些家财万贯的贵族像劳里达·弗丽斯也抱怨纸张价格太贵。她是整个恩洛斯最富有的人，连她竟然也怨声载道，真是荒唐。	迫不及待的贵族	你不知道为贵族工作是多么的无聊和令人不快。尽管他们很有钱，但要求干的活时间紧迫，需要迫切，而且会不断干扰你的工作。	魔法经书	我为许多魔法师抄写魔法经书，比如阿尔伯特·牛顿，他可是我的最好的主顾。他向西方布莱克郡附近的光明教派和暗黑教派卖了不少魔法。	卷文	由于魔法经书的价钱十分昂贵，我必须谨慎使用，在十万火急的情况下才能施展。施展魔法需要达到较高的技能等级，这对你会有帮助的。	听写	奥斯里克·坦普是最严厉苛刻的导师。他说的话既快，内容又多，很难记下来。在所有的爵士中他是脾气最不好的一个。尽管很难与他相处，但他对王国还是忠心耿耿。	记录	威尔伯·汉弗里曾多次雇佣我记录王国内外发生的灾害。自从国王失踪后灾害发生率就直线上升。	卡力格的图书馆	在我年轻的时候，我曾经到卡力格的月亮教派看了被毁的图书馆。它整个由翡翠和大理石建成，在它宽敞的大厅里蕴藏着人类世世代代的智慧。如果你有机会上那儿去，一定要去。
71	Missionary	太阳神庙	此庙为敬拜天地万物而建，对百姓漠不关心，只关心自己的目标。	李格纳	李格纳的海岛王国还没有归顺羊鸣教，我想到他们那里去说服他们加入我们的组织。	月亮教派	这个教派敬拜天神。他们和太阳教派的恩怨纠缠不清，难以了断。幸好我们没有赶上他们打打杀杀的苦日子。	罗兰德	罗兰德的死证明了艾恩法斯特家族已经失去了天堂之令。恩洛斯现在该有一个新统治者。	羊鸣	你和羊鸣教打过交道吗？让我来帮你解决问题，给你找个好的出路。只占用你的一点时间。	尼古拉	尼古拉王子太年轻了，不足以管理整个王国。威尔伯·汉弗里必须亲自掌管政权，而不是借着一个孩子的名义管理国家。	神庙	羊鸣教的最主要的神庙在布莱克郡的西北面，只有羊鸣教徒才能进入该庙。
72	Clerk	假日	我当然要享受我的假日，哪个公务员会一年三百六十五天天天工作。	星期二	我们把重要的船运班次放在星期二。	推纸	这项工作比挖沟稍好，但必须时刻监督机器的运转。	橡胶邮票	我的橡胶邮票来自南方赤道气候的埃拉西亚。那里有种植物可以长久保留僧侣的字，并且可反复使用。	税收	很多人抱怨税收太高，我可不赞成。如果没有税收公务员怎么能正常工作，而我们不工作人们怎么能得到许可和证书。	城镇议会	如果你要找个工作，可以去某个大城镇的城镇议会，你会找到工作的。	高级议会	高级议会和城镇议会的功能不同，它代表王国的爵士处理国家大事。在送交国王决定前先由他们投票表决，而且他们还控制了拜见神使的通道。
73	Guard	卫兵	许多人对我们工作的重要性并不在意。其实我们是维护秩序的关键。我们将时刻保持警惕。	竞技场	幸好大多数好勇斗狠的亡命之徒在竞技场里一决高下，而不是在城镇里。	睡觉	看来我已经昏昏欲睡了，其实并不然。装睡是老一套的骗人把戏了。	罗兰德	我希望自己能有机会继续罗兰德的远征。主动出击总比坐以待毙强得多。	龙塔	镇子外面的龙塔专门射击飞行怪兽，我们实在无法对付它。	暴躁不安	关于王国即将瓦解的传闻和一连串的灾害使人心烦意乱。为了维护和平我必须更加警惕。	耐心	作为一个合格的卫兵，必须有极大的耐心。我们不能贸然出击，寻找麻烦，而应该守株待兔，让麻烦找上门来再解决它。
74	Follower of Baa	羊鸣教崇拜	是羊鸣教改变了我的一生，让我重新燃起生命的火花，投身羊鸣教吧，你将永远摆脱痛苦和折磨。	跟随旅行者	咩，朋友…噢，对不起，我把你当成羊鸣教教友了。	免费治疗	如果你急着疗伤，但身边又没有足够的钱去神庙治疗，不妨到羊鸣庙去。那里可以免费治疗。	顶级羊鸣庙	一旦你加入羊鸣教，就可以得到一件披风，并允许参观克里格斯城堡东面的顶级羊鸣庙。不要再犹豫了，每个人迟早会加入我们的队伍，顶级羊鸣庙可是座雄伟壮观的建筑奇迹。	超级羊鸣庙	超级羊鸣庙在隐士岛上，只有羊鸣教的大主教和高级官员才能进入此地。	恶魔	人人都说是恶魔引起了西部的大混乱。其实他们被人误解了。羊鸣教说它们是我们的朋友。如果你碰到它们，应该热情迎接。它们只是需要更多的个人自由而已，一旦得不到，自然会生气的。只是它们是超级生物，不能得到我们的理解，如果我们也是超级生物，自然会懂得它们的心情。	疯狂	我很好，你为什么要问这个？
75	Noble	星期日	我憎恨星期天，每到那天就没人工作了，真希望它和别的日子没什么两样！	崛起的教派	一个新崛起的教派妄图主宰这个王国，真是太糟糕了。他们不断煽动人们造反，推翻国王的统治。现在到处在流传他们——羊鸣教的功绩。他们可不是什么好人，摄政王该在他们势力壮大以前把他们一网打尽。	亵渎密令	亵渎天堂之令可会引起大麻烦。如果现在对到处发生的灾难还漠然置之，王国不久将分崩离析。	国王	国王突然失踪真是个灾难。尽管贵族们个个都不是好东西，但人人都希望国家安定团结。没有了国王势必引起全国大乱。在即将来到的血战中没有人可以替代他的位置。和这场大战相比，王位争夺战争就像是孩子们过家家闹着玩的。	凯瑟琳皇后	我希望凯瑟琳皇后能即时从家乡赶回来。尽管她是个外乡人，但也能给我们这个四面楚歌的国家带来暂时的希望。	破坏夏季	我听说近来反常的夏季的寒冷气候是由一些掌握控制天气魔法的巫师故意搞的鬼，我认为这是他们的阴谋诡计的一部分，用来制造恐慌，开始他们的暴乱行动。	陨星	如果两年前真有一些可怕的陨星从天空降落到我们的土地上，我认为它们不是复仇天使，而是像恶魔一样的邪恶力量。
76	Gambler	幸运	希望你的运气比我好，最近我赌钱老是输，一定是艾恩法斯特家族的霉运影响到了我的头上。	神使	议会已经多年未祈求神使了。上次是阿基巴德询问神使的神谕，但神使没有向他透露一个字。	阿基巴德	阿基巴德作为艾恩法斯特家族的成员，是个天生的倒霉蛋。他不但没有找到强大的能量自己反倒变成了石头被囚禁在皇家图书馆里，看来他只能在城堡中了此残生了。	天气	真搞不懂近来的天气为什么会如此的反常。如果这时和别人为天气打赌，准会大赚一票。	艾恩法斯特王朝	许多人已经对尼古拉失去了信心。我以一赔三的概率和你打赌他的统治熬不过他的下一个生日。怎么样？	扫烟囱的人	如果你要使烟囱扫帚头上永远吉星高照，就把它拿去吧。尽管扫烟囱的人有时会搞些恶作剧，但他们是我所知道的最幸运的人。	凯瑟琳	可怜的皇后接连失去了父亲和丈夫，希望尼古拉不会有什么不测。
77	Child	马戏团	我对太阳马戏团的到来已经迫不及待了。一年来我规规矩矩，就盼望父母能带我去看马戏。	学校	我讨厌学校，父亲说只有好好努力才能找到个好工作，说不定还能学习魔法。谁稀罕这个，我才不在乎呢！我就想玩！	尼古拉	我要是尼古拉该多好啊！尽管他和我一样是个孩子，但没人敢叫他干这干那，他想干什么就干什么，因为他是国王。而每个人都可以教训我该怎么做。	恶魔	我妈妈告诉我如果我做了坏事，恶魔就要来把我吃掉。	大耳族	大耳怪有名字吗？它们也有家庭吗？它们为什么会如此邪恶？	船只	我喜欢坐着大船在海上航行。这样我可以到达想去的任何岛屿，不用再上学，不用再干活，也不用听父母亲的抱怨。这真是太棒了。	战斗	为什么大人们总要相互之间打打杀杀，难道他们不能和平相处吗？
